mês/ano,IGPM,IPCA,Diferença
ago/07,4.63,4.18,0.46
jul/07,4.00,3.74,0.26
jun/07,3.89,3.69,0.20
mai/07,4.40,3.18,1.22
abr/07,4.75,3.00,1.75
mar/07,4.26,2.96,1.31
fev/07,3.67,3.02,0.65
jan/07,3.40,2.99,0.42
dez/06,3.83,3.14,0.69
nov/06,3.50,3.02,0.48
out/06,3.13,3.26,-0.13
set/06,3.28,3.70,-0.42
ago/06,2.43,3.84,-1.41
jul/06,1.39,3.97,-2.58
jun/06,0.86,4.03,-3.16
mai/06,-0.33,4.23,-4.56
abr/06,-0.92,4.63,-5.55
mar/06,0.36,5.32,-4.96
fev/06,1.45,5.51,-4.06
jan/06,1.74,5.70,-3.96
dez/05,1.21,5.69,-4.48
nov/05,1.96,6.22,-4.25
out/05,2.38,6.36,-3.98
set/05,2.17,6.04,-3.87
ago/05,3.43,6.02,-2.58
jul/05,5.38,6.57,-1.19
jun/05,7.12,7.27,-0.15
mai/05,9.08,8.05,1.03
abr/05,10.74,8.07,2.67
mar/05,11.12,7.54,3.59
fev/05,11.43,7.39,4.05
jan/05,11.87,7.41,4.46
dez/04,12.41,7.60,4.81
nov/04,12.28,7.24,5.04
out/04,11.91,6.86,5.05
set/04,11.90,6.70,5.20
ago/04,12.44,7.18,5.26
jul/04,11.51,6.81,4.70
jun/04,9.61,6.06,3.55
mai/04,7.04,5.15,1.89
abr/04,5.38,5.26,0.12
mar/04,5.08,5.89,-0.81
fev/04,5.50,6.69,-1.19
jan/04,7.17,7.71,-0.54
dez/03,8.71,9.30,-0.59
nov/03,12.09,11.02,1.08
out/03,17.34,13.98,3.35
set/03,21.42,15.14,6.28
ago/03,22.88,15.07,7.80
jul/03,25.25,15.43,9.82
jun/03,28.23,16.57,11.66
mai/03,31.53,17.24,14.29
abr/03,32.97,16.77,16.20
mar/03,32.48,16.57,15.91
fev/03,30.60,15.85,14.76
jan/03,27.76,14.47,13.30
dez/02,25.31,12.53,12.78
nov/02,21.05,10.93,10.11
out/02,16.34,8.45,7.90
set/02,13.32,7.93,5.39
