Entrada/Saída,Data,Movimentação,Produto,Instituição,Quantidade,Preço unitário,Valor da Operação
Credito,30/12/2019,Juros Sobre Capital Próprio - Transferido,PETR4 - PETROLEO BRASILEIRO S/A PETROBRAS,NU INVEST CORRETORA DE VALORES S.A.,3," R$0,42 "," R$1,08 "
Debito,30/12/2019,Juros Sobre Capital Próprio - Transferido,PETR4 - PETROLEO BRASILEIRO S/A PETROBRAS,NU INVEST CORRETORA DE VALORES S.A.,3," R$0,42 "," R$1,08 "
Credito,27/12/2019,Juros Sobre Capital Próprio - Transferido,LREN3 - LOJAS RENNER S/A,NU INVEST CORRETORA DE VALORES S.A.,2," R$0,08 "," R$0,13 "
Debito,27/12/2019,Juros Sobre Capital Próprio - Transferido,LREN3 - LOJAS RENNER S/A,NU INVEST CORRETORA DE VALORES S.A.,2," R$0,08 "," R$0,13 "
Credito,26/12/2019,Juros Sobre Capital Próprio - Transferido,WEGE3 - WEG S.A.,NU INVEST CORRETORA DE VALORES S.A.,3," R$0,04 "," R$0,10 "
Debito,26/12/2019,Juros Sobre Capital Próprio - Transferido,WEGE3 - WEG S.A.,NU INVEST CORRETORA DE VALORES S.A.,3," R$0,04 "," R$0,10 "
Credito,23/12/2019,Compra,Tesouro Selic 2025,NU INVEST CORRETORA DE VALORES S.A.,"0,09"," R$10.450,37 "," R$940,53 "
Credito,19/12/2019,Transferência - Liquidação,ARZZ3 - AREZZO INDUSTRIA E COMERCIO S.A.,NU INVEST CORRETORA DE VALORES S.A.,1," R$64,24 "," R$64,24 "
Credito,19/12/2019,Transferência,ARZZ3 - AREZZO INDUSTRIA E COMERCIO S.A.,NU INVEST CORRETORA DE VALORES S.A.,1, - , - 
Debito,19/12/2019,Transferência,ARZZ3 - AREZZO INDUSTRIA E COMERCIO S.A.,NU INVEST CORRETORA DE VALORES S.A.,1, - , - 
Credito,19/12/2019,Transferência - Liquidação,CYRE3 - CYRELA BRAZIL REALTY S/A EMPREENDIMENTOS E PARTICIPACOES,NU INVEST CORRETORA DE VALORES S.A.,3," R$29,50 "," R$88,50 "
Credito,19/12/2019,Transferência,CYRE3 - CYRELA BRAZIL REALTY S/A EMPREENDIMENTOS E PARTICIPACOES,NU INVEST CORRETORA DE VALORES S.A.,3, - , - 
Debito,19/12/2019,Transferência,CYRE3 - CYRELA BRAZIL REALTY S/A EMPREENDIMENTOS E PARTICIPACOES,NU INVEST CORRETORA DE VALORES S.A.,3, - , - 
Credito,19/12/2019,Transferência - Liquidação,IRBR3 - IRB BRASIL RESSEGUROS S/A,NU INVEST CORRETORA DE VALORES S.A.,3," R$37,19 "," R$111,57 "
Credito,19/12/2019,Transferência,IRBR3 - IRB BRASIL RESSEGUROS S/A,NU INVEST CORRETORA DE VALORES S.A.,3, - , - 
Debito,19/12/2019,Transferência,IRBR3 - IRB BRASIL RESSEGUROS S/A,NU INVEST CORRETORA DE VALORES S.A.,3, - , - 
Credito,19/12/2019,Transferência - Liquidação,ITUB4 - ITAU UNIBANCO HOLDING S/A,NU INVEST CORRETORA DE VALORES S.A.,3," R$35,89 "," R$107,67 "
Credito,19/12/2019,Transferência,ITUB4 - ITAU UNIBANCO HOLDING S/A,NU INVEST CORRETORA DE VALORES S.A.,3, - , - 
Debito,19/12/2019,Transferência,ITUB4 - ITAU UNIBANCO HOLDING S/A,NU INVEST CORRETORA DE VALORES S.A.,3, - , - 
Credito,19/12/2019,Transferência - Liquidação,LREN3 - LOJAS RENNER S/A,NU INVEST CORRETORA DE VALORES S.A.,2," R$54,12 "," R$108,24 "
Credito,19/12/2019,Transferência,LREN3 - LOJAS RENNER S/A,NU INVEST CORRETORA DE VALORES S.A.,2, - , - 
Debito,19/12/2019,Transferência,LREN3 - LOJAS RENNER S/A,NU INVEST CORRETORA DE VALORES S.A.,2, - , - 
Credito,19/12/2019,Transferência - Liquidação,MGLU3 - MAGAZINE LUIZA S/A,NU INVEST CORRETORA DE VALORES S.A.,2," R$47,90 "," R$95,80 "
Credito,19/12/2019,Transferência,MGLU3 - MAGAZINE LUIZA S/A,NU INVEST CORRETORA DE VALORES S.A.,2, - , - 
Debito,19/12/2019,Transferência,MGLU3 - MAGAZINE LUIZA S/A,NU INVEST CORRETORA DE VALORES S.A.,2, - , - 
Credito,19/12/2019,Transferência - Liquidação,PETR4 - PETROLEO BRASILEIRO S/A PETROBRAS,NU INVEST CORRETORA DE VALORES S.A.,3," R$29,74 "," R$89,22 "
Credito,19/12/2019,Transferência,PETR4 - PETROLEO BRASILEIRO S/A PETROBRAS,NU INVEST CORRETORA DE VALORES S.A.,3, - , - 
Debito,19/12/2019,Transferência,PETR4 - PETROLEO BRASILEIRO S/A PETROBRAS,NU INVEST CORRETORA DE VALORES S.A.,3, - , - 
Credito,19/12/2019,Transferência - Liquidação,WEGE3 - WEG S.A.,NU INVEST CORRETORA DE VALORES S.A.,3," R$33,90 "," R$101,70 "
Credito,19/12/2019,Transferência,WEGE3 - WEG S.A.,NU INVEST CORRETORA DE VALORES S.A.,3, - , - 
Debito,19/12/2019,Transferência,WEGE3 - WEG S.A.,NU INVEST CORRETORA DE VALORES S.A.,3, - , - 
Credito,29/11/2019,Compra,Tesouro IPCA+ 2035,NU INVEST CORRETORA DE VALORES S.A.,"0,5"," R$1.943,62 "," R$971,81 "
