Entrada/Saída,Data,Movimentação,Produto,Instituição,Quantidade,Preço unitário,Valor da Operação
Credito,29/04/2021,Rendimento,PETR4 - PETROLEO BRASILEIRO S/A PETROBRAS,NU INVEST CORRETORA DE VALORES S.A.,30," R$0,01 "," R$0,13 "
Credito,29/04/2021,Dividendo,PETR4 - PETROLEO BRASILEIRO S/A PETROBRAS,NU INVEST CORRETORA DE VALORES S.A.,30," R$0,79 "," R$23,62 "
Credito,29/04/2021,Desdobro,WEGE3 - WEG S.A.,NU INVEST CORRETORA DE VALORES S.A.,3, - , -
Credito,27/04/2021,Dividendo - Transferido,CYRE3 - CYRELA BRAZIL REALTY S/A EMPREENDIMENTOS E PARTICIPACOES,NU INVEST CORRETORA DE VALORES S.A.,3," R$1,09 "," R$3,26 "
Debito,27/04/2021,Dividendo - Transferido,CYRE3 - CYRELA BRAZIL REALTY S/A EMPREENDIMENTOS E PARTICIPACOES,NU INVEST CORRETORA DE VALORES S.A.,3," R$1,09 "," R$3,26 "
Credito,27/04/2021,Dividendo - Transferido,LREN3 - LOJAS RENNER S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,04 "," R$0,15 "
Debito,27/04/2021,Dividendo - Transferido,LREN3 - LOJAS RENNER S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,04 "," R$0,15 "
Credito,22/04/2021,Juros Sobre Capital Próprio,MDIA3 - M.DIAS BRANCO S/A INDUSTRIA E COMERCIO DE ALIMENTOS,NU INVEST CORRETORA DE VALORES S.A.,3," R$0,05 "," R$0,13 "
Debito,20/04/2021,Fração em Ativos,BBDC4 - BANCO BRADESCO S/A,NU INVEST CORRETORA DE VALORES S.A.,"0,4", - , -
Credito,20/04/2021,Fração em Ativos,BBDC4 - BANCO BRADESCO S/A,NU INVEST CORRETORA DE VALORES S.A.,"0,4", - , -
Credito,20/04/2021,Bonificação em Ativos,BBDC4 - BANCO BRADESCO S/A,NU INVEST CORRETORA DE VALORES S.A.,"0,4", - , -
Credito,19/04/2021,Rendimento,IRDM11 - FII IRIDIUM RECEBIVEIS IMOBILIARIOS,NU INVEST CORRETORA DE VALORES S.A.,1," R$1,28 "," R$1,28 "
Credito,16/04/2021,Rendimento - Transferido,PETR4 - PETROLEO BRASILEIRO S/A PETROBRAS,NU INVEST CORRETORA DE VALORES S.A.,30, - ," R$0,11 "
Debito,16/04/2021,Rendimento - Transferido,PETR4 - PETROLEO BRASILEIRO S/A PETROBRAS,NU INVEST CORRETORA DE VALORES S.A.,30, - ," R$0,11 "
Credito,16/04/2021,Dividendo - Transferido,PETR4 - PETROLEO BRASILEIRO S/A PETROBRAS,NU INVEST CORRETORA DE VALORES S.A.,30," R$0,79 "," R$23,62 "
Debito,16/04/2021,Dividendo - Transferido,PETR4 - PETROLEO BRASILEIRO S/A PETROBRAS,NU INVEST CORRETORA DE VALORES S.A.,30," R$0,79 "," R$23,62 "
Credito,13/04/2021,Atualização,PETR4 - PETROLEO BRASILEIRO S/A PETROBRAS,NU INVEST CORRETORA DE VALORES S.A.,30, - , -
Credito,09/04/2021,Juros Sobre Capital Próprio - Transferido,MDIA3 - M.DIAS BRANCO S/A INDUSTRIA E COMERCIO DE ALIMENTOS,NU INVEST CORRETORA DE VALORES S.A.,3," R$0,05 "," R$0,13 "
Debito,09/04/2021,Juros Sobre Capital Próprio - Transferido,MDIA3 - M.DIAS BRANCO S/A INDUSTRIA E COMERCIO DE ALIMENTOS,NU INVEST CORRETORA DE VALORES S.A.,3," R$0,05 "," R$0,13 "
Credito,06/04/2021,Juros Sobre Capital Próprio - Transferido,BBDC4 - BANCO BRADESCO S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,02 "," R$0,06 "
Debito,06/04/2021,Juros Sobre Capital Próprio - Transferido,BBDC4 - BANCO BRADESCO S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,02 "," R$0,06 "
Credito,05/04/2021,Dividendo - Transferido,ITUB4 - ITAU UNIBANCO HOLDING S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,02 "," R$0,06 "
Debito,05/04/2021,Dividendo - Transferido,ITUB4 - ITAU UNIBANCO HOLDING S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,02 "," R$0,06 "
Credito,01/04/2021,Juros Sobre Capital Próprio,BBDC4 - BANCO BRADESCO S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,02 "," R$0,06 "
Credito,01/04/2021,Dividendo,ITUB4 - ITAU UNIBANCO HOLDING S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,02 "," R$0,06 "
Credito,31/03/2021,Juros Sobre Capital Próprio,BBAS3 - BANCO DO BRASIL S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,15 "," R$0,50 "
Credito,30/03/2021,Juros Sobre Capital Próprio - Transferido,WEGE3 - WEG S.A.,NU INVEST CORRETORA DE VALORES S.A.,3," R$0,03 "," R$0,09 "
Debito,30/03/2021,Juros Sobre Capital Próprio - Transferido,WEGE3 - WEG S.A.,NU INVEST CORRETORA DE VALORES S.A.,3," R$0,03 "," R$0,09 "
Credito,29/03/2021,Juros Sobre Capital Próprio - Transferido,ITUB4 - ITAU UNIBANCO HOLDING S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,05 "," R$0,17 "
Debito,29/03/2021,Juros Sobre Capital Próprio - Transferido,ITUB4 - ITAU UNIBANCO HOLDING S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,05 "," R$0,17 "
Credito,25/03/2021,Juros Sobre Capital Próprio,GGBR4 - GERDAU S.A.,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,17 "," R$0,58 "
Credito,25/03/2021,Juros Sobre Capital Próprio,GGBR4 - GERDAU S.A.,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,13 "," R$0,45 "
Debito,24/03/2021,Direitos de Subscrição - Não Exercido,IRDM12 - FII IRIDIUM RECEBIVEIS IMOBILIARIOS,NU INVEST CORRETORA DE VALORES S.A.,0, - , -
Credito,22/03/2021,Juros Sobre Capital Próprio - Transferido,LREN3 - LOJAS RENNER S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,07 "," R$0,25 "
Debito,22/03/2021,Juros Sobre Capital Próprio - Transferido,LREN3 - LOJAS RENNER S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,07 "," R$0,25 "
Credito,16/03/2021,Rendimento,IRDM11 - FII IRIDIUM RECEBIVEIS IMOBILIARIOS,NU INVEST CORRETORA DE VALORES S.A.,1," R$1,23 "," R$1,23 "
Credito,15/03/2021,Juros Sobre Capital Próprio - Transferido,BBAS3 - BANCO DO BRASIL S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,15 "," R$0,50 "
Debito,15/03/2021,Juros Sobre Capital Próprio - Transferido,BBAS3 - BANCO DO BRASIL S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,15 "," R$0,50 "
Credito,15/03/2021,Juros Sobre Capital Próprio - Transferido,GGBR4 - GERDAU S.A.,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,13 "," R$0,45 "
Debito,15/03/2021,Juros Sobre Capital Próprio - Transferido,GGBR4 - GERDAU S.A.,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,13 "," R$0,45 "
Credito,12/03/2021,Juros Sobre Capital Próprio,ITUB4 - ITAU UNIBANCO HOLDING S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,06 "," R$0,22 "
Credito,12/03/2021,Juros Sobre Capital Próprio,ITUB4 - ITAU UNIBANCO HOLDING S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,05 "," R$0,17 "
Credito,12/03/2021,Juros Sobre Capital Próprio,ITUB4 - ITAU UNIBANCO HOLDING S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,05 "," R$0,17 "
Credito,12/03/2021,Dividendo,ITUB4 - ITAU UNIBANCO HOLDING S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,10 "," R$0,38 "
Credito,10/03/2021,Juros Sobre Capital Próprio,WEGE3 - WEG S.A.,NU INVEST CORRETORA DE VALORES S.A.,3," R$0,03 "," R$0,09 "
Credito,10/03/2021,Juros Sobre Capital Próprio,WEGE3 - WEG S.A.,NU INVEST CORRETORA DE VALORES S.A.,3," R$0,04 "," R$0,10 "
Credito,10/03/2021,Dividendo,WEGE3 - WEG S.A.,NU INVEST CORRETORA DE VALORES S.A.,3," R$0,35 "," R$1,04 "
Credito,08/03/2021,Juros Sobre Capital Próprio,BBDC4 - BANCO BRADESCO S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,02 "," R$0,07 "
Credito,08/03/2021,Direito de Subscrição,IRDM12 - FII IRIDIUM RECEBIVEIS IMOBILIARIOS,NU INVEST CORRETORA DE VALORES S.A.,0, - , -
Credito,03/03/2021,Juros Sobre Capital Próprio,BBAS3 - BANCO DO BRASIL S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,43 "," R$1,48 "
Debito,03/03/2021,Juros Sobre Capital Próprio - Transferido,BBDC4 - BANCO BRADESCO S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,02 "," R$0,06 "
Credito,03/03/2021,Juros Sobre Capital Próprio - Transferido,BBDC4 - BANCO BRADESCO S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,02 "," R$0,06 "
Credito,03/03/2021,Dividendo,SANB4 - BANCO SANTANDER (BRASIL) S.A.,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,07 "," R$0,28 "
Credito,02/03/2021,Dividendo - Transferido,ITUB4 - ITAU UNIBANCO HOLDING S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,02 "," R$0,06 "
Debito,02/03/2021,Dividendo - Transferido,ITUB4 - ITAU UNIBANCO HOLDING S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,02 "," R$0,06 "
Credito,02/03/2021,Dividendo - Transferido,WEGE3 - WEG S.A.,NU INVEST CORRETORA DE VALORES S.A.,3," R$0,35 "," R$1,04 "
Debito,02/03/2021,Dividendo - Transferido,WEGE3 - WEG S.A.,NU INVEST CORRETORA DE VALORES S.A.,3," R$0,35 "," R$1,04 "
Credito,01/03/2021,Juros Sobre Capital Próprio,BBDC4 - BANCO BRADESCO S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,02 "," R$0,06 "
Credito,01/03/2021,Juros Sobre Capital Próprio - Transferido,ITUB4 - ITAU UNIBANCO HOLDING S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,05 "," R$0,17 "
Debito,01/03/2021,Juros Sobre Capital Próprio - Transferido,ITUB4 - ITAU UNIBANCO HOLDING S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,05 "," R$0,17 "
Credito,01/03/2021,Dividendo - Transferido,ITUB4 - ITAU UNIBANCO HOLDING S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,10 "," R$0,38 "
Debito,01/03/2021,Dividendo - Transferido,ITUB4 - ITAU UNIBANCO HOLDING S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,10 "," R$0,38 "
Credito,01/03/2021,Dividendo,ITUB4 - ITAU UNIBANCO HOLDING S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,02 "," R$0,06 "
Credito,24/02/2021,Rendimento - Transferido,BBAS3 - BANCO DO BRASIL S/A,NU INVEST CORRETORA DE VALORES S.A.,4, - , -
Debito,24/02/2021,Rendimento - Transferido,BBAS3 - BANCO DO BRASIL S/A,NU INVEST CORRETORA DE VALORES S.A.,4, - , -
Credito,24/02/2021,Juros Sobre Capital Próprio - Transferido,BBAS3 - BANCO DO BRASIL S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,43 "," R$1,48 "
Debito,24/02/2021,Juros Sobre Capital Próprio - Transferido,BBAS3 - BANCO DO BRASIL S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,43 "," R$1,48 "
Credito,19/02/2021,Juros Sobre Capital Próprio - Transferido,BBDC4 - BANCO BRADESCO S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,02 "," R$0,07 "
Debito,19/02/2021,Juros Sobre Capital Próprio - Transferido,BBDC4 - BANCO BRADESCO S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,02 "," R$0,07 "
Credito,18/02/2021,Rendimento,IRDM11 - FII IRIDIUM RECEBIVEIS IMOBILIARIOS,NU INVEST CORRETORA DE VALORES S.A.,1," R$1,34 "," R$1,33 "
Credito,03/02/2021,Juros Sobre Capital Próprio - Transferido,BBDC4 - BANCO BRADESCO S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,02 "," R$0,06 "
Debito,03/02/2021,Juros Sobre Capital Próprio - Transferido,BBDC4 - BANCO BRADESCO S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,02 "," R$0,06 "
Credito,02/02/2021,Dividendo - Transferido,ITUB4 - ITAU UNIBANCO HOLDING S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,02 "," R$0,06 "
Debito,02/02/2021,Dividendo - Transferido,ITUB4 - ITAU UNIBANCO HOLDING S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,02 "," R$0,06 "
Credito,01/02/2021,Juros Sobre Capital Próprio,BBDC4 - BANCO BRADESCO S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,02 "," R$0,06 "
Credito,01/02/2021,Dividendo,ITUB4 - ITAU UNIBANCO HOLDING S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,02 "," R$0,06 "
Credito,01/02/2021,Juros Sobre Capital Próprio,SANB4 - BANCO SANTANDER (BRASIL) S.A.,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,09 "," R$0,32 "
Credito,27/01/2021,Juros Sobre Capital Próprio - Transferido,ITUB4 - ITAU UNIBANCO HOLDING S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,05 "," R$0,17 "
Debito,27/01/2021,Juros Sobre Capital Próprio - Transferido,ITUB4 - ITAU UNIBANCO HOLDING S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,05 "," R$0,17 "
Credito,19/01/2021,Rendimento,IRDM11 - FII IRIDIUM RECEBIVEIS IMOBILIARIOS,NU INVEST CORRETORA DE VALORES S.A.,1," R$1,59 "," R$1,59 "
Credito,12/01/2021,Atualização,BOVA11 - ISHARES IBOVESPA FUNDO DE INDICE,NU INVEST CORRETORA DE VALORES S.A.,2, - , -
Credito,07/01/2021,Juros Sobre Capital Próprio,BBDC4 - BANCO BRADESCO S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,42 "," R$1,42 "
Credito,06/01/2021,Juros Sobre Capital Próprio - Transferido,BBDC4 - BANCO BRADESCO S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,02 "," R$0,06 "
Debito,06/01/2021,Juros Sobre Capital Próprio - Transferido,BBDC4 - BANCO BRADESCO S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,02 "," R$0,06 "
Credito,05/01/2021,Dividendo - Transferido,ITUB4 - ITAU UNIBANCO HOLDING S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,02 "," R$0,06 "
Debito,05/01/2021,Dividendo - Transferido,ITUB4 - ITAU UNIBANCO HOLDING S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,02 "," R$0,06 "
Credito,04/01/2021,Juros Sobre Capital Próprio,BBDC4 - BANCO BRADESCO S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,02 "," R$0,06 "
Credito,04/01/2021,Dividendo,ITUB4 - ITAU UNIBANCO HOLDING S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,02 "," R$0,06 "
Debito,04/01/2021,Juros Sobre Capital Próprio - Transferido,MGLU3 - MAGAZINE LUIZA S/A,NU INVEST CORRETORA DE VALORES S.A.,16," R$0,03 "," R$0,36 "
Credito,04/01/2021,Juros Sobre Capital Próprio - Transferido,MGLU3 - MAGAZINE LUIZA S/A,NU INVEST CORRETORA DE VALORES S.A.,16," R$0,03 "," R$0,36 "
