Entrada/Saída,Data,Movimentação,Produto,Instituição,Quantidade,Preço unitário,Valor da Operação
Credito,18/11/2020,Juros Sobre Capital Próprio - Transferido,BBAS3 - BANCO DO BRASIL S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,19 "," R$0,66 "
Debito,18/11/2020,Juros Sobre Capital Próprio - Transferido,BBAS3 - BANCO DO BRASIL S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,19 "," R$0,66 "
Credito,18/11/2020,Dividendo,GGBR4 - GERDAU S.A.,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,12 "," R$0,48 "
Credito,18/11/2020,Rendimento,IRDM11 - FII IRIDIUM RECEBIVEIS IMOBILIARIOS,NU INVEST CORRETORA DE VALORES S.A.,1," R$1,22 "," R$1,22 "
Credito,18/11/2020,Direito de Subscrição,IRDM12 - FII IRIDIUM RECEBIVEIS IMOBILIARIOS,NU INVEST CORRETORA DE VALORES S.A.,0, - , - 
Credito,10/11/2020,Dividendo - Transferido,GGBR4 - GERDAU S.A.,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,12 "," R$0,48 "
Debito,10/11/2020,Dividendo - Transferido,GGBR4 - GERDAU S.A.,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,12 "," R$0,48 "
Credito,05/11/2020,Juros Sobre Capital Próprio - Transferido,BBDC4 - BANCO BRADESCO S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,02 "," R$0,06 "
Debito,05/11/2020,Juros Sobre Capital Próprio - Transferido,BBDC4 - BANCO BRADESCO S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,02 "," R$0,06 "
Credito,04/11/2020,Dividendo - Transferido,ITUB4 - ITAU UNIBANCO HOLDING S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,02 "," R$0,06 "
Debito,04/11/2020,Dividendo - Transferido,ITUB4 - ITAU UNIBANCO HOLDING S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,02 "," R$0,06 "
Credito,03/11/2020,Juros Sobre Capital Próprio - Transferido,ARZZ3 - AREZZO INDUSTRIA E COMERCIO S.A.,NU INVEST CORRETORA DE VALORES S.A.,1," R$0,30 "," R$0,25 "
Debito,03/11/2020,Juros Sobre Capital Próprio - Transferido,ARZZ3 - AREZZO INDUSTRIA E COMERCIO S.A.,NU INVEST CORRETORA DE VALORES S.A.,1," R$0,30 "," R$0,25 "
